,Max Torque,Max Torque(Nm)
2510,96Nm@3500rpm,96.0
2511,250Nm@1600-3500rpm,250.0
2512,115Nm@3500-3600rpm,115.0
2513,74.5Nm@4000rpm,74.5
2514,"14.9 @ 3,000 (kgm@rpm)",146.02
2515,110Nm@3750rpm,110.0
2516,90Nm@3500rpm,90.0
2517,138Nm@4400rpm,138.0
2518,"8.5@2,500 (kgm@rpm)",83.30000000000001
2519,178Nm@1750-4500rpm,178.0
2520,153 Nm at 3800 rpm,153.0
2521,250Nm@1600-3500rpm,250.0
2522,113Nm@3300rpm,113.0
2523,215Nm@1750-3000rpm,215.0
2524,72Nm@4386rpm,72.0
